timestamp,sensor_id,location,temperature_celsius,humidity_percent,pressure_hpa,air_quality_aqi,status
2024-01-01 00:00:00,SENSOR_001,location_b,45.99,94.4,1008.33,35.9,active
2024-01-01 01:00:00,SENSOR_001,Location_B,15.67,97.0,989.99,63.4,active
2024-01-01 02:00:00,SENSOR_001,Location_B,18.22,85.7,1016.83,53.6,active
2024-01-01 03:00:00,SENSOR_001,Location_B,17.1,92.7,1005.04,56.4,active
2024-01-01 04:00:00,SENSOR_001,Location_B,23.99,72.6,1037.09,46.0,active
2024-01-01 05:00:00,SENSOR_001,Location_B,20.31,91.8,1005.2,44.4,active
2024-01-01 06:00:00,SENSOR_001,Location_B,27.17,69.9,1009.33,46.0,active
2024-01-01 07:00:00,SENSOR_001,Location_B,25.09,73.6,1013.16,69.4,active
2024-01-01 08:00:00,SENSOR_001,Location_B,28.75,73.6,1013.85,89.6,active
2024-01-01 09:00:00,SENSOR_001,Location_B,29.89,71.3,1005.97,64.8,active
2024-01-01 10:00:00,SENSOR_001,Location_B,28.94,75.3,1000.03,35.2,active
2024-01-01 11:00:00,SENSOR_001,Location_B,32.89,66.8,1032.79,47.5,active
2024-01-01 12:00:00,SENSOR_001,Location_B,33.76,65.8,1031.61,67.1,active
2024-01-01 13:00:00,SENSOR_001,Location_B,32.24,68.9,1012.54,57.5,active
2024-01-01 14:00:00,SENSOR_001,Location_B,31.37,61.4,1005.72,32.5,active
2024-01-01 15:00:00,SENSOR_001,Location_B,32.36,69.0,1016.72,55.2,active
2024-01-01 16:00:00,SENSOR_001,Location_B,32.62,65.9,988.57,21.0,active
2024-01-01 17:00:00,SENSOR_001,Location_B,29.95,70.2,1028.66,97.2,active
2024-01-01 18:00:00,SENSOR_001,Location_B,25.55,77.7,1006.18,71.9,active
2024-01-01 19:00:00,SENSOR_001,Location_B,23.83,88.9,1019.59,58.4,active
2024-01-01 20:00:00,SENSOR_001,Location_B,18.5,97.7,1022.8,77.5,active
2024-01-01 21:00:00,SENSOR_001,Location_B,19.63,88.7,1014.28,39.8,active
2024-01-01 22:00:00,SENSOR_001,Location_B,16.84,93.6,1013.12,70.7,active
2024-01-01 23:00:00,SENSOR_001,Location_B,19.36,86.0,992.27,31.9,active
2024-01-02 00:00:00,SENSOR_001,Location_B,20.28,83.3,1004.55,30.9,active
2024-01-02 01:00:00,SENSOR_001,Location_B,13.63,97.9,1002.38,28.0,active
